item_id,order_id,product_id,quantity,unit_price,discount_percent
1,290,48,4,303.72,9.12
2,498,8,1,497.79,25.72
3,488,277,2,243.94,4.36
4,481,328,4,163.14,22.64
5,372,67,1,341.05,9.13
6,60,99,3,283.87,18.66
7,26,10,2,188.54,14.19
8,233,306,2,256.49,21.54
9,212,67,4,91.89,4.12
10,329,487,5,346.58,27.82
11,453,112,4,117.32,22.57
12,135,243,5,336.91,14.88
13,147,20,1,185.0,11.08
14,433,279,5,439.21,25.74
15,93,366,1,160.82,14.02
16,239,66,5,197.45,12.7
17,319,261,5,49.67,11.73
18,76,229,5,347.36,9.91
19,165,427,5,35.79,8.79
20,310,78,1,257.65,12.73
21,184,144,3,146.89,7.73
22,364,126,2,134.48,17.54
23,47,194,2,280.35,9.49
24,219,474,2,70.0,10.72
25,386,408,5,425.09,0.48
26,393,400,5,80.24,13.58
27,128,347,1,107.69,20.76
28,202,38,4,92.46,27.51
29,105,158,5,242.04,3.33
30,188,284,5,370.67,16.99
31,333,143,4,224.03,24.67
32,182,479,5,351.45,14.16
33,389,460,2,412.22,10.88
34,42,474,3,33.15,29.26
35,145,96,3,371.57,8.8
36,37,381,1,405.15,15.6
37,8,414,3,205.02,18.73
38,60,385,1,371.52,27.66
39,141,139,2,135.0,1.84
40,276,205,4,95.85,8.77
41,49,7,3,423.56,14.38
42,358,353,1,150.76,21.67
43,120,322,5,349.76,15.1
44,96,56,2,46.01,3.88
45,356,409,1,466.03,23.53
46,125,83,4,363.49,29.22
47,478,128,3,154.47,24.92
48,418,462,1,404.76,6.67
49,285,238,2,52.61,2.18
50,186,372,3,102.06,6.49
51,373,87,5,342.8,3.5
52,78,226,1,394.85,6.08
53,390,200,2,474.66,14.62
54,353,473,2,253.09,23.77
55,328,227,5,205.62,1.03
56,468,211,5,230.99,11.43
57,286,133,2,108.94,28.34
58,359,493,5,113.97,27.74
59,2,493,5,464.16,7.64
60,117,396,3,465.93,24.93
61,476,370,1,395.86,3.22
62,212,13,4,498.35,14.11
63,121,133,1,292.81,26.97
64,242,149,5,245.89,21.12
65,284,65,3,471.76,26.51
67,52,299,1,114.15,5.09
68,377,432,5,265.45,19.98
69,363,354,1,391.24,24.45
70,96,192,3,190.37,4.49
71,450,351,4,195.39,16.18
72,200,349,1,121.15,0.0
73,69,142,4,299.46,4.85
75,277,122,1,141.46,18.27
76,126,8,5,273.29,15.21
78,11,479,4,333.75,26.96
79,113,234,4,346.01,9.76
80,198,116,3,47.47,8.67
81,438,398,2,489.93,13.27
82,53,179,5,381.35,19.46
83,37,54,1,413.16,13.0
84,425,404,4,420.21,5.42
85,300,437,1,334.89,26.27
86,319,432,2,120.7,14.23
87,341,344,3,416.18,15.98
88,150,97,2,57.28,0.0
89,393,337,5,77.27,21.42
91,156,492,4,213.99,21.23
92,25,69,2,497.4,29.07
93,259,183,3,247.05,16.61
94,27,277,4,466.96,13.66
95,337,295,3,230.1,29.12
96,318,75,3,389.41,2.58
97,377,345,3,351.48,15.17
98,339,85,4,82.87,16.62
99,295,446,3,121.41,0.21
100,390,225,1,103.42,5.99
101,23,233,5,111.97,23.84
102,382,137,5,266.43,6.41
103,243,196,1,203.13,4.58
104,246,465,5,437.22,12.72
105,495,440,5,471.0,10.88
106,192,334,5,70.85,27.14
107,315,82,1,331.51,23.04
108,193,95,5,223.94,0.27
109,302,378,2,217.66,1.49
110,245,153,1,305.19,12.77
111,465,171,5,52.94,13.15
112,165,454,2,344.7,27.52
113,172,282,4,379.01,23.08
114,46,357,2,153.45,18.32
115,133,59,2,278.57,5.13
117,284,386,5,176.28,18.01
118,254,367,1,163.93,28.32
119,5,235,4,340.77,23.24
120,465,455,3,149.62,22.19
121,85,352,4,285.06,12.45
122,23,319,3,139.37,25.59
123,324,402,4,246.85,28.43
124,350,100,3,99.97,4.05
125,212,324,1,64.41,29.87
126,207,208,2,214.81,1.71
127,481,492,2,489.01,23.6
128,394,425,3,490.45,0.95
129,418,185,1,100.08,16.47
130,94,473,1,346.87,14.2
131,265,448,1,129.93,11.18
132,359,382,2,406.58,1.59
133,289,405,5,473.13,18.21
134,416,263,5,138.05,22.56
135,195,16,3,121.57,13.64
136,274,283,1,262.96,14.18
137,185,427,5,121.9,4.84
138,173,400,5,305.99,14.7
139,110,13,3,354.29,12.46
140,333,20,5,92.46,26.96
141,447,187,2,208.28,14.42
142,56,145,3,290.91,8.85
143,203,122,3,493.44,14.35
144,162,279,1,415.3,13.77
145,345,383,3,99.0,17.63
146,130,443,5,495.9,18.86
147,95,364,4,493.67,14.69
148,425,214,4,131.43,26.39
149,120,80,2,344.76,22.02
150,112,425,2,296.73,14.42
151,125,197,2,244.82,20.92
152,373,288,1,85.49,0.15
153,344,205,4,275.23,13.18
154,454,320,2,123.81,21.61
155,246,8,2,39.69,14.27
156,134,375,1,156.38,11.6
157,341,393,5,112.5,11.7
158,410,3,5,225.82,3.67
159,153,196,2,157.52,12.64
160,303,133,1,53.08,21.56
161,205,402,3,284.14,12.53
162,88,94,4,104.76,7.1
163,358,223,3,168.6,6.57
164,266,172,1,229.68,0.29
165,261,28,2,395.69,19.38
166,213,213,5,167.12,27.17
167,80,371,2,333.09,24.38
169,9,381,5,296.2,5.79
170,120,309,5,143.05,19.47
171,193,500,4,315.87,1.26
172,183,318,2,498.78,10.85
173,386,127,4,448.87,18.48
174,392,214,2,126.49,2.36
175,335,146,5,205.46,21.89
176,277,227,1,27.06,15.69
177,488,438,1,246.36,12.88
178,297,161,1,470.21,28.28
179,119,232,4,454.91,16.19
180,319,410,2,180.1,5.9
181,485,143,4,403.53,23.27
182,17,420,3,274.31,6.25
183,330,305,1,245.58,3.76
184,225,124,3,171.81,6.15
185,413,37,1,466.14,29.94
186,322,255,4,204.02,19.21
187,386,306,2,84.64,11.41
188,111,39,2,93.86,22.44
189,250,106,1,399.5,26.45
190,380,172,2,52.05,29.5
191,463,128,2,89.52,19.17
192,114,227,4,145.1,12.04
193,65,487,2,462.06,27.55
194,480,92,2,358.02,8.86
196,161,160,4,428.99,24.46
197,43,283,1,202.91,6.08
198,359,263,4,211.86,2.09
199,278,31,3,109.43,11.72
200,83,41,4,76.18,0.55
201,241,191,5,35.68,21.21
202,361,229,4,292.99,29.22
203,176,57,4,272.12,29.01
204,297,256,2,299.66,17.83
205,352,346,5,101.67,20.35
206,217,34,2,162.67,23.18
207,35,45,2,59.8,5.7
208,236,29,5,134.95,17.55
209,467,466,1,298.94,17.42
210,371,41,4,49.83,3.55
211,400,269,5,383.81,13.12
212,387,494,3,322.91,2.34
213,303,139,1,295.16,17.95
214,108,11,3,475.87,9.42
215,92,467,5,252.74,22.62
216,199,98,1,130.58,14.49
217,278,433,2,68.19,9.62
218,374,318,1,324.46,2.64
