product_id,product_name,category,subcategory,cost_price
1,Brother,Electronics,whether,235.78
2,Network,Clothing,card,323.26
3,Clear,Books,rate,173.26
4,Then,Home,perform,861.41
5,Rise,Clothing,run,673.37
6,Thousand,Books,his,224.72
7,Too,Home,receive,700.53
8,Figure,Clothing,position,786.81
9,Week,Home,American,418.32
10,Picture,Clothing,where,499.87
11,Less,Home,there,601.89
12,Throw,Home,activity,196.76
13,Along,Clothing,south,750.87
14,Young,Home,raise,841.81
15,Floor,Electronics,firm,974.65
16,Mrs,Electronics,clearly,916.27
17,True,Books,kid,312.42
18,Main,Home,democratic,689.41
19,Degree,Books,continue,59.12
20,Politics,Electronics,green,62.87
21,Election,Books,fact,112.31
22,Imagine,Home,cut,926.2
23,Life,Books,total,763.14
24,Attack,Home,data,863.9
25,Special,Books,majority,597.24
26,Enough,Electronics,because,56.93
27,Training,Books,story,466.54
28,South,Books,both,65.1
29,Point,Electronics,accept,117.75
30,Support,Home,month,165.26
31,Range,Books,great,643.85
32,About,Clothing,develop,748.0
33,Project,Books,threat,25.71
34,Myself,Clothing,agree,771.69
35,Along,Electronics,serious,876.96
36,Join,Home,market,18.17
37,Sign,Electronics,cause,527.19
38,Sort,Home,himself,940.83
39,Whom,Electronics,environmental,50.63
40,Everybody,Clothing,who,920.62
41,Wall,Home,particularly,258.75
42,Market,Electronics,today,438.45
43,Wide,Clothing,born,418.96
44,Address,Electronics,ago,968.91
45,Building,Clothing,senior,188.5
46,Age,Electronics,live,596.07
47,Never,Electronics,wall,768.47
48,Memory,Clothing,have,425.21
49,Or,Electronics,media,377.74
50,Race,Books,art,748.21
51,Theory,Books,every,26.65
52,Actually,Electronics,interesting,532.44
53,Difficult,Electronics,yourself,96.8
54,Tend,Electronics,recently,524.62
55,Leave,Electronics,billion,664.02
56,Late,Electronics,although,681.99
57,Citizen,Home,class,481.84
58,Between,Home,we,230.1
59,Focus,Books,give,849.73
60,Sound,Books,focus,466.54
61,Drop,Electronics,may,507.0
62,Produce,Electronics,stuff,395.21
63,Popular,Clothing,general,529.11
64,Beat,Clothing,development,490.75
65,School,Clothing,religious,312.97
66,Not,Books,whole,206.24
67,Military,Electronics,movement,351.54
68,Life,Electronics,enough,956.02
69,Nation,Books,season,784.28
70,Forget,Electronics,they,137.79
71,East,Home,defense,957.75
72,Example,Books,even,67.58
73,Management,Clothing,anyone,21.8
74,Open,Books,example,126.72
75,Pass,Home,north,413.39
76,Environmental,Home,sea,489.86
77,Race,Clothing,end,371.3
78,Situation,Books,must,454.27
79,Safe,Books,service,614.4
80,On,Books,marriage,226.92
81,Table,Books,case,844.32
82,Less,Electronics,full,375.51
83,Interest,Books,himself,576.22
84,Between,Electronics,future,985.86
85,Health,Home,sort,979.41
86,Professional,Books,piece,218.14
87,Go,Books,school,808.45
88,Message,Books,thank,895.63
89,Look,Clothing,because,528.71
90,Feel,Electronics,begin,193.56
91,Figure,Clothing,some,748.37
92,Stuff,Home,no,734.56
93,Back,Electronics,east,679.26
94,Decision,Electronics,stock,806.5
95,Wonder,Clothing,draw,110.49
96,Foreign,Books,trouble,885.66
97,Strategy,Home,positive,581.72
98,Difficult,Books,each,384.58
99,Factor,Clothing,soldier,415.55
100,Crime,Clothing,would,834.1
101,How,Clothing,at,786.37
102,Reality,Electronics,mean,471.87
103,Space,Books,material,975.2
104,Career,Clothing,crime,923.58
105,Save,Books,provide,411.34
106,Somebody,Electronics,it,359.17
107,Section,Books,name,843.3
108,Trouble,Home,against,566.47
109,Easy,Home,avoid,210.68
110,Section,Books,medical,561.6
111,Rate,Home,later,982.89
112,Section,Home,cup,42.61
113,Night,Clothing,draw,323.87
114,Be,Electronics,owner,439.87
115,She,Books,become,476.67
116,Voice,Books,small,609.43
117,Television,Home,hotel,586.63
118,Seem,Home,money,879.67
119,Data,Books,official,445.41
120,Think,Clothing,term,734.02
121,Fly,Home,read,537.15
122,Machine,Books,information,853.43
123,As,Clothing,movement,947.97
124,Per,Clothing,along,585.67
125,Audience,Electronics,network,161.35
126,Major,Clothing,evidence,147.17
127,Thought,Electronics,purpose,597.17
128,Discussion,Electronics,carry,992.52
129,Scientist,Clothing,pick,542.66
130,Billion,Home,many,659.51
131,Card,Books,floor,629.39
132,Adult,Electronics,image,398.6
133,Beautiful,Home,loss,484.01
134,High,Home,development,840.49
135,Space,Clothing,never,171.16
136,Hotel,Home,but,545.77
137,Industry,Home,strong,777.57
138,Serve,Clothing,decision,733.14
139,Officer,Electronics,significant,394.89
140,Force,Clothing,evidence,496.48
141,Subject,Books,kid,766.45
142,Task,Clothing,let,916.07
143,Energy,Books,thousand,850.27
144,Friend,Books,school,179.28
145,Alone,Clothing,suggest,983.7
146,Water,Books,war,565.55
147,Bag,Books,grow,412.26
148,Good,Home,this,468.18
149,Economic,Electronics,bad,947.06
150,Budget,Home,wish,649.25
151,Network,Clothing,example,978.71
152,Gas,Clothing,view,436.58
153,Phone,Home,thank,656.46
154,Daughter,Electronics,significant,446.52
155,Join,Clothing,doctor,570.35
156,Cover,Clothing,resource,307.63
157,Cover,Electronics,face,862.35
158,Order,Electronics,table,559.36
159,More,Electronics,piece,804.9
160,Room,Clothing,cut,933.12
161,Push,Electronics,turn,155.99
162,World,Home,together,315.93
163,Health,Electronics,number,146.68
164,Successful,Books,can,509.58
165,Bit,Clothing,born,170.02
166,Should,Home,impact,103.62
167,Success,Electronics,chair,454.85
168,Myself,Electronics,purpose,631.3
169,Evening,Clothing,purpose,503.0
170,Tree,Home,amount,822.45
171,Quickly,Books,than,565.32
172,Health,Electronics,nearly,570.07
173,Rate,Home,prepare,887.75
174,Begin,Books,popular,480.33
175,Term,Clothing,play,99.5
176,Open,Home,it,367.27
177,Focus,Clothing,fast,281.01
178,Leg,Clothing,probably,758.73
179,Lead,Home,step,133.22
180,Contain,Clothing,member,211.12
181,Expert,Electronics,behind,710.12
182,Letter,Clothing,husband,812.25
183,Idea,Electronics,bad,27.55
184,The,Electronics,party,432.65
185,Daughter,Books,set,72.7
186,Call,Clothing,question,603.0
187,Throughout,Clothing,nothing,268.39
188,Audience,Electronics,eat,318.87
189,Team,Electronics,address,163.01
190,Short,Home,nature,143.75
191,Grow,Books,information,579.18
192,Again,Home,worry,815.3
193,Themselves,Books,his,473.28
194,Physical,Home,body,469.77
195,Space,Clothing,ok,158.09
196,Recently,Home,left,273.33
197,Feeling,Clothing,outside,244.61
198,Song,Clothing,world,92.05
199,These,Books,vote,803.51
200,Long,Home,sometimes,727.3
201,With,Books,her,515.21
202,Suddenly,Books,develop,61.51
203,Thousand,Books,service,995.64
204,Various,Home,sign,186.4
205,Must,Books,gun,366.38
206,Market,Electronics,sell,248.66
207,Market,Home,they,457.01
208,Next,Home,local,74.59
209,Recently,Home,friend,999.98
210,System,Electronics,house,723.12
211,Every,Electronics,list,57.03
212,Southern,Electronics,art,199.81
213,Nature,Clothing,including,459.97
214,National,Home,research,301.02
215,Way,Home,kind,254.35
216,Decision,Clothing,recognize,244.67
217,National,Electronics,store,331.03
218,Before,Electronics,enter,741.11
219,Itself,Books,project,425.66
220,Nice,Clothing,produce,177.7
221,Several,Home,court,962.33
222,Ability,Home,say,606.38
223,View,Books,rock,713.54
224,Moment,Home,particular,289.44
225,Gun,Home,whatever,839.36
226,Help,Electronics,real,271.85
227,Professional,Electronics,dinner,564.55
228,Republican,Books,across,174.22
229,Nice,Books,number,775.85
230,Government,Home,young,271.56
231,Lot,Electronics,factor,952.04
232,When,Clothing,enough,144.12
233,Far,Home,management,871.91
234,Wide,Electronics,own,972.83
235,Nature,Books,drop,100.04
236,Traditional,Electronics,teach,622.87
237,Main,Home,either,862.5
238,Firm,Home,much,636.06
239,Pressure,Home,current,734.46
240,Try,Books,he,732.97
241,Security,Home,word,689.46
242,Crime,Books,above,147.48
243,It,Electronics,subject,211.94
244,Professional,Books,age,251.05
245,Fish,Electronics,couple,921.89
246,Part,Home,value,97.3
247,Begin,Electronics,my,818.0
248,Away,Books,thing,620.78
249,A,Clothing,almost,524.2
250,Gun,Electronics,war,325.19
251,Item,Books,suffer,399.83
252,Deep,Clothing,international,266.8
253,Enough,Books,political,947.91
254,Future,Electronics,great,727.9
255,Hundred,Books,help,975.3
256,Kind,Clothing,sort,939.64
257,Add,Clothing,small,984.73
258,Member,Clothing,natural,336.12
259,Report,Home,look,634.92
260,Dark,Books,husband,618.45
261,Try,Books,fly,217.12
262,Peace,Books,structure,589.47
263,Down,Home,design,90.77
264,Experience,Books,much,633.96
265,Box,Clothing,forget,615.84
266,Mr,Electronics,power,778.58
267,Million,Home,old,770.02
268,Guess,Clothing,treatment,715.0
269,Phone,Home,much,20.82
270,Site,Home,include,915.85
271,Service,Home,high,966.71
272,Floor,Clothing,cup,914.36
273,Develop,Clothing,forget,880.08
274,Dinner,Home,admit,619.98
275,Financial,Books,response,749.34
276,Moment,Home,word,511.08
277,Example,Books,heart,885.19
278,Reach,Clothing,stuff,352.16
279,Water,Home,face,137.34
280,Upon,Clothing,law,370.56
281,Any,Electronics,foot,169.37
282,Board,Home,today,996.48
283,Nation,Electronics,whom,775.73
284,Hit,Home,boy,37.65
285,Raise,Clothing,above,698.7
286,Side,Home,general,107.18
287,Off,Home,who,271.12
288,Center,Electronics,interest,634.28
289,Peace,Clothing,win,882.14
290,Box,Electronics,opportunity,981.14
291,Single,Clothing,close,399.14
292,Someone,Books,also,448.53
293,Bar,Home,quickly,506.87
294,Around,Home,friend,478.01
295,Brother,Electronics,do,298.52
296,Trial,Home,they,980.75
297,Majority,Home,soldier,541.54
298,Example,Electronics,music,163.7
299,Remember,Home,even,813.48
300,Fall,Home,chair,779.63
301,Organization,Home,from,852.56
302,I,Books,small,831.33
303,Doctor,Clothing,ball,195.47
304,Whole,Electronics,raise,447.21
305,Address,Clothing,ten,213.4
306,Garden,Electronics,red,540.27
307,That,Clothing,heart,861.51
308,Election,Electronics,picture,471.44
309,Body,Electronics,plant,992.86
310,Commercial,Electronics,evidence,260.94
311,Purpose,Electronics,resource,185.2
312,Sense,Home,agency,585.45
313,Risk,Books,agency,430.72
314,Represent,Books,modern,794.33
315,Together,Clothing,study,674.42
316,Floor,Electronics,direction,98.45
317,Fast,Clothing,mean,600.1
318,Ever,Electronics,marriage,716.75
319,Western,Electronics,pattern,885.14
320,Often,Electronics,foreign,780.24
